timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
97191075,0.24290064,0.49375957,0.31681958
97202285,0.24123171,0.5125994,0.3294572
97211069,0.24641603,0.5041606,0.32060945
97220674,0.24641603,0.5041606,0.32060945
97230275,0.25340027,0.5041606,0.32056677
97239844,0.25515452,0.4953101,0.32189193
97251104,0.24988575,0.4972723,0.31691936
97259844,0.24469881,0.4951729,0.32533982
97271073,0.25166413,0.5023356,0.32219815
97279844,0.2534847,0.51063716,0.33438712
97291078,0.24118602,0.4953101,0.32197726
97299845,0.25694746,0.47564703,0.3295576
97319883,0.25694746,0.47564703,0.3295576
97328667,0.24643844,0.51104885,0.32427818
97339067,0.25172526,0.49841127,0.33220735
97348668,0.255195,0.491523,0.32851726
97359067,0.25009158,0.4923874,0.35061565
97368692,0.26046544,0.49658623,0.33377472
97379043,0.25870863,0.49489847,0.33202225
97388674,0.26037928,0.4830841,0.3196695
97399043,0.25339854,0.49713507,0.32028192
97408677,0.25339854,0.49713507,0.32028192
97419068,0.24645478,0.4933479,0.32694986
97427867,0.25521567,0.4913858,0.33190116
97439113,0.2411671,0.5024728,0.31887826
97447868,0.2551976,0.5020612,0.32894456
97458296,0.2465159,0.4894236,0.3369591
97467874,0.25168306,0.4951729,0.32529718
97478287,0.25522003,0.5089494,0.33261332
97487867,0.25874996,0.49462405,0.33879
97497468,0.24823575,0.5089494,0.332656
97507868,0.24823575,0.5089494,0.332656
97516668,0.26389647,0.5005107,0.3237442
97527843,0.24998997,0.500099,0.33398116
97536705,0.25870517,0.48084754,0.33145252
97547867,0.2551761,0.4986857,0.32541826
97556674,0.25166324,0.4988229,0.32205573
97567867,0.2517692,0.508675,0.33940238
97576675,0.27093747,0.47902256,0.33299857
97587867,0.2656568,0.5162494,0.32606643
97596668,0.2656568,0.5162494,0.32606643
97605475,0.25517696,0.5021984,0.32556072
97615867,0.2551356,0.5024728,0.31879294
97625468,0.2446368,0.49558455,0.3151882
97635874,0.26391712,0.5003735,0.32712808
97645468,0.24815047,0.4989601,0.3186932
97655867,0.26209915,0.50261,0.3153664
97665468,0.24810913,0.49923456,0.31192544
97675867,0.25515452,0.4953101,0.32189193
97685468,0.24817201,0.5023356,0.3222195
97695868,0.24817201,0.5023356,0.3222195
97704705,0.2533968,0.49010965,0.31999704
97714313,0.25862506,0.49193463,0.31834432
97724712,0.24300747,0.5071245,0.33430868
97734285,0.2550934,0.49923456,0.31188276
97744667,0.24990816,0.5041606,0.3205881
97754285,0.2551158,0.50612277,0.3155515
97764670,0.24984528,0.50105953,0.31029403
97774287,0.25339592,0.48659688,0.31985462
97784676,0.25339592,0.48659688,0.31985462
97793468,0.25515628,0.5023356,0.3221768
97804671,0.2446368,0.49558455,0.3151882
97813468,0.25867164,0.5127366,0.3259667
97824667,0.24291956,0.48659688,0.3199186
97833468,0.24470055,0.5021984,0.3256247
97844674,0.23940764,0.4902469,0.3166985
97853468,0.25170547,0.5020612,0.3289659
97864674,0.2516615,0.49179742,0.32177085
97873468,0.2516615,0.49179742,0.32177085
97882314,0.24817201,0.5023356,0.3222195
97892673,0.24298505,0.5002363,0.33063996
97902285,0.25168306,0.4951729,0.32529718
97913474,0.25170633,0.5055739,0.32910833
97922298,0.25860703,0.50261,0.31538773
97933481,0.24821422,0.5055739,0.32912967
97942319,0.24821073,0.491523,0.32855994
97953467,0.25340027,0.5041606,0.32056677
97962314,0.25340027,0.5041606,0.32056677
97971043,0.25178814,0.5015123,0.3425014
97981474,0.25862592,0.4954473,0.31848675
97991044,0.25682953,0.50105953,0.31025138
98001474,0.244617,0.49923456,0.31194675
98011044,0.26213786,0.49179742,0.32170686
98021474,0.2517046,0.49854848,0.32882348
98031045,0.26030096,0.50119674,0.30684617
98041467,0.2638353,0.504435,0.31373504
98051045,0.2638353,0.504435,0.31373504
98061468,0.2638353,0.504435,0.31373504
98070297,0.24997018,0.50374895,0.33073974
98081444,0.24813241,0.5096355,0.3157366
98090313,0.25872928,0.49476126,0.33540612
98100667,0.24296439,0.5003735,0.32725605
98110300,0.25346228,0.50374895,0.3307184
98119874,0.25519675,0.49854848,0.32880214
