timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
49976351,0.0300893,0.0216012,-0.0171305,0.821805,-0.0542105,-0.0247347,-0.566644,0.931081,0.00216238,0.0119804,-0.364609,1
50008286,0.0192347,0.029386,-0.00760355,0.821576,-0.0528758,-0.0245002,-0.567113,0.931081,0.00216238,0.0119804,-0.364609,1
50036327,0.0376149,0.00318381,-0.000821719,0.821474,-0.051835,-0.0245781,-0.567354,0.931081,0.00216238,0.0119804,-0.364609,1
50068417,0.0283697,0.0119447,0.00722131,0.821428,-0.0506547,-0.0248856,-0.567513,0.931081,0.00216238,0.0119804,-0.364609,1
50100367,0.0268559,-0.00792658,0.00355037,0.82137,-0.0497409,-0.0249655,-0.567674,0.931081,0.00216238,0.0119804,-0.364609,1
50133268,-0.0256704,-0.0699451,0.0194555,0.821338,-0.0492638,-0.0257086,-0.567728,0.931081,0.00216238,0.0119804,-0.364609,1
50165271,-0.0323694,-0.0770872,0.0102227,0.821332,-0.0496166,-0.0264002,-0.567675,0.931081,0.00216238,0.0119804,-0.364609,1
50197076,0.0233759,-0.0390224,0.00830067,0.821292,-0.0494881,-0.0271271,-0.567709,0.931081,0.00216238,0.0119804,-0.364609,1
50229141,0.0599818,-0.026028,7.37002e-05,0.821262,-0.0481568,-0.0279883,-0.567825,0.931081,0.00216238,0.0119804,-0.364609,1
50261180,-0.0712657,0.0205181,-0.0153726,0.821068,-0.0477478,-0.0280856,-0.568137,0.931081,0.00216238,0.0119804,-0.364609,1
50293066,-0.0448062,0.0976545,-0.0231814,0.820728,-0.0474412,-0.026286,-0.56874,0.931081,0.00216238,0.0119804,-0.364609,1
50325964,-0.0106847,-0.000168049,0.00649005,0.82056,-0.0461544,-0.0257905,-0.56911,0.931081,0.00216238,0.0119804,-0.364609,1
50358027,0.0618388,-0.0221669,-0.0060413,0.820465,-0.0451306,-0.0264276,-0.569299,0.931081,0.00216238,0.0119804,-0.364609,1
50389944,-0.0124154,-0.0231055,-0.0143762,0.820246,-0.0443119,-0.0269932,-0.569652,0.931081,0.00216238,0.0119804,-0.364609,1
50421932,0.014281,0.00897337,-0.0173069,0.820002,-0.0435152,-0.0270363,-0.570063,0.931081,0.00216238,0.0119804,-0.364609,1
50453915,0.0100158,0.00997629,0.00233661,0.819819,-0.0426536,-0.027111,-0.570388,0.931081,0.00216238,0.0119804,-0.364609,1
50485944,0.0241478,0.0449675,0.0105568,0.819824,-0.0413513,-0.0269615,-0.570484,0.931081,0.00216238,0.0119804,-0.364609,1
50517899,0.0154668,0.0278913,0.0044837,0.819793,-0.0401873,-0.0266742,-0.570625,0.931081,0.00216238,0.0119804,-0.364609,1
50550726,-0.0314942,-0.00673656,-0.00472935,0.819682,-0.0393541,-0.026481,-0.570851,0.931081,0.00216238,0.0119804,-0.364609,1
